parentTconst,count,primaryTitle,titleType
tt0058796,14749,Days of Our Lives,tvSeries
tt0069658,12749,The Young and the Restless,tvSeries
tt0988827,10674,See the World by Train,tvSeries
tt0053494,10639,Coronation Street,tvSeries
tt21883128,10002,Large Test Series,tvSeries
tt0344642,9948,Eat Bulaga,tvSeries
tt0363402,9638,ASAP,tvSeries
tt1985601,9502,Ohayou Tokushima,tvSeries
tt0088580,9199,Neighbours,tvSeries
tt0092325,9017,The Bold and the Beautiful,tvSeries
tt0434733,8993,Unser Sandmännchen,tvSeries
tt0159881,8787,Jeopardy!,tvSeries
tt0068120,8541,The Price Is Right,tvSeries
tt0068069,8535,Emmerdale Farm,tvSeries
tt0439979,8055,It's Okay to Laugh!,tvSeries
tt0283794,8032,Six O'Clock News,tvSeries
tt0484535,8023,Saksi,tvSeries
tt0094481,8021,Home and Away,tvSeries
tt0048845,8005,As the World Turns,tvSeries
tt0138228,7785,Countdown,tvSeries
tt0103434,7745,"Gute Zeiten, schlechte Zeiten",tvSeries
tt0072584,7729,Wheel of Fortune,tvSeries
tt0283767,7491,One O'Clock News,tvSeries
tt2364308,7480,Bom Dia & Cia,tvSeries
tt0065272,7366,All My Children,tvSeries
tt0043214,7316,Love of Life,tvSeries
tt0048860,7254,The Edge of Night,tvSeries
tt0108977,7110,Unter uns,tvSeries
tt0175383,6764,Barátok közt,tvSeries
tt0096597,6750,"Goede tijden, slechte tijden",tvSeries
tt2235082,6730,Tritio Matra,tvSeries
tt0056758,6448,General Hospital,tvSeries
tt0115227,6302,Judge Judy,tvSeries
tt0144724,6245,Young Hearts,tvSeries
tt0270116,6183,Charlie Rose,tvSeries
tt0088550,6116,Larry King Live,tvSeries
tt0057731,5965,Another World,tvSeries
tt0117367,5942,Un posto al sole,tvSeries
tt0065335,5473,Donahue,tvSeries
tt0162076,5327,Familie,tvSeries
tt0046641,5193,The Secret Storm,tvSeries
tt10340592,5166,Rannaghar,tvSeries
tt0194599,5147,Bobino,tvSeries
tt0043229,5067,Search for Tomorrow,tvSeries
tt0090493,4924,The Oprah Winfrey Show,tvSeries
tt0055708,4795,The Tonight Show Starring Johnny Carson,tvSeries
tt0315719,4717,Totally Wild,tvSeries
tt0108979,4664,Verbotene Liebe,tvSeries
tt0103569,4641,The Tonight Show with Jay Leno,tvSeries
tt0057741,4527,Crossroads,tvSeries
